Nom du cookie;Domaine;Chemin;Durée de Vie;HTTP Only;Sécurisé;SameSite;Catégorie
countPV;www.aufeminin.com;Session;Première-Partie;False;False;Session;Fonctionnel
_hjSessionUser_3063876;.aufeminin.com;Persistent;Tierce Partie;False;True;2024-11-13 11:00:40;Suivi/Publicité
beopid;.www.aufeminin.com;Persistent;Tierce Partie;False;False;2024-11-13 11:00:39;Suivi/Publicité
permutive-id;.aufeminin.com;Persistent;Tierce Partie;False;True;2024-12-14 11:00:39;Suivi/Publicité
_pbjs_userid_consent_data;www.aufeminin.com;Persistent;Première-Partie;False;False;2023-12-14 11:00:39;Persistant
_ga;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-02-12 11:00:39;Suivi/Publicité
_hjAbsoluteSessionInProgress;.aufeminin.com;Persistent;Tierce Partie;False;True;2023-11-14 11:30:40;Suivi/Publicité
euconsent-v2;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-05-15 11:00:39;Suivi/Publicité
_hjSession_3063876;.aufeminin.com;Persistent;Tierce Partie;False;True;2023-11-14 11:30:40;Suivi/Publicité
didomi_token;.aufeminin.com;Persistent;Tierce Partie;False;False;2024-05-15 11:00:39;Suivi/Publicité
TAUD;.tripadvisor.com;Persistent;Tierce Partie;False;False;2023-11-28 15:03:51;Suivi/Publicité
bm_sz;.tripadvisor.com;Persistent;Tierce Partie;False;False;2023-11-14 19:03:48;Suivi/Publicité
_abck;.tripadvisor.com;Persistent;Tierce Partie;False;True;2024-11-13 15:03:50;Suivi/Publicité
TASession;.tripadvisor.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
TATravelInfo;.tripadvisor.com;Persistent;Tierce Partie;False;False;2023-11-28 15:03:48;Suivi/Publicité
TART;.www.tripadvisor.com;Persistent;Tierce Partie;True;False;2023-11-19 15:03:48;Suivi/Publicité
PMC;.www.tripadvisor.com;Persistent;Tierce Partie;True;True;2024-12-18 15:03:50;Suivi/Publicité
TASameSite;.www.tripadvisor.com;Persistent;Tierce Partie;True;True;2024-12-18 15:03:50;Suivi/Publicité
TASSK;.www.tripadvisor.com;Persistent;Tierce Partie;True;False;2024-05-12 16:03:48;Suivi/Publicité
__vt;.www.tripadvisor.com;Persistent;Tierce Partie;True;True;2023-11-14 16:03:48;Suivi/Publicité
TASID;.www.tripadvisor.com;Persistent;Tierce Partie;False;True;2023-11-14 15:33:51;Suivi/Publicité
ServerPool;.tripadvisor.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
PAC;.www.tripadvisor.com;Persistent;Tierce Partie;True;True;2024-12-18 15:03:51;Suivi/Publicité
SRT;.www.tripadvisor.com;Persistent;Tierce Partie;False;False;2023-11-14 15:33:48;Suivi/Publicité
roybatty;.tripadvisor.com;Session;Tierce Partie;False;False;Session;Suivi/Publicité
TAUnique;.tripadvisor.com;Persistent;Tierce Partie;True;False;2024-12-18 15:03:50;Suivi/Publicité
datadome;.tripadvisor.com;Persistent;Tierce Partie;False;True;2024-11-08 15:03:51;Suivi/Publicité
TADCID;.www.tripadvisor.com;Persistent;Tierce Partie;True;True;2024-12-18 15:03:50;Suivi/Publicité
didomi_token;.konbini.com;Persistent;Tierce Partie;False;False;2024-05-15 15:32:13;Suivi/Publicité
_pcid;www.konbini.com;Persistent;Première-Partie;False;True;2024-12-13 15:32:12;Persistant
_pctx;www.konbini.com;Persistent;Première-Partie;False;True;2024-12-13 15:32:12;Persistant
pa_privacy;www.konbini.com;Persistent;Première-Partie;False;True;2024-12-13 15:32:12;Persistant
_ga_2XCYCNYNYB;.convertio.co;Persistent;Tierce Partie;False;False;2024-12-18 15:57:20;Suivi/Publicité
s;convertio.co;Persistent;Première-Partie;True;False;2024-11-13 15:57:19;Persistant
XSRF-TOKEN;convertio.co;Persistent;Première-Partie;False;False;2023-11-14 17:57:19;Persistant
_gat_gtag_UA_55374714_1;.convertio.co;Persistent;Tierce Partie;False;False;2023-11-14 15:58:19;Suivi/Publicité
laravel_session;convertio.co;Persistent;Première-Partie;True;False;2023-11-14 17:57:19;Persistant
_gid;.convertio.co;Persistent;Tierce Partie;False;False;2023-11-15 15:57:19;Suivi/Publicité
_ga;.convertio.co;Persistent;Tierce Partie;False;False;2024-12-18 15:57:19;Suivi/Publicité
NID;.google.fr;Persistent;Tierce Partie;True;True;2024-12-14 08:16:25;Suivi/Publicité
AEC;.google.fr;Persistent;Tierce Partie;True;True;2024-05-12 16:58:07;Suivi/Publicité
SOCS;.google.fr;Persistent;Tierce Partie;False;True;2024-12-13 15:58:15;Suivi/Publicité
CONSENT;.google.fr;Persistent;Tierce Partie;False;True;2024-12-18 15:58:07;Suivi/Publicité
wpn_ad_cookie;.xnxx.com;Persistent;Tierce Partie;False;False;2023-11-21 15:59:06;Suivi/Publicité
session_token;.xnxx.com;Persistent;Tierce Partie;False;True;2023-12-14 15:59:02;Suivi/Publicité
cit;.xnxx.com;Persistent;Tierce Partie;False;False;2024-02-12 15:59:02;Suivi/Publicité
_ga_B39RFFWGYY;.pornhub.com;Persistent;Tierce Partie;False;False;2024-12-18 16:00:57;Suivi/Publicité
bs;.pornhub.com;Session;Tierce Partie;False;True;Session;Suivi/Publicité
cookieConsent;.pornhub.com;Session;Tierce Partie;False;True;Session;Suivi/Publicité
_ga;.pornhub.com;Persistent;Tierce Partie;False;False;2024-12-18 16:00:57;Suivi/Publicité
__s;fr.pornhub.com;Session;Première-Partie;False;True;Session;Fonctionnel
fg_fa3f0973fd973fca3dfabc86790b408b;.pornhub.com;Persistent;Tierce Partie;False;True;2023-12-14 16:00:56;Suivi/Publicité
fg_9951ce1ac4434b4ac312a1334fa77d82;.pornhub.com;Persistent;Tierce Partie;False;True;2023-12-14 16:00:56;Suivi/Publicité
accessAgeDisclaimerPH;.pornhub.com;Persistent;Tierce Partie;False;False;2024-11-13 16:00:57;Suivi/Publicité
__l;fr.pornhub.com;Persistent;Première-Partie;False;True;2024-11-13 21:49:43;Persistant
fg_0d2ec4cbd943df07ec161982a603817e;.pornhub.com;Persistent;Tierce Partie;False;True;2023-12-14 16:00:56;Suivi/Publicité
ss;.pornhub.com;Persistent;Tierce Partie;False;True;2024-11-13 16:00:56;Suivi/Publicité
fg_f916a4d27adf4fc066cd2d778b4d388e;.pornhub.com;Persistent;Tierce Partie;False;True;2023-12-14 16:00:56;Suivi/Publicité
platform;.pornhub.com;Persistent;Tierce Partie;False;True;2023-11-21 16:00:56;Suivi/Publicité
_gat_UA-40988129-17;.mym.fans;Persistent;Tierce Partie;False;False;2023-11-14 16:02:59;Suivi/Publicité
_fbp;.mym.fans;Persistent;Tierce Partie;False;False;2024-02-12 16:02:02;Suivi/Publicité
_gid;.mym.fans;Persistent;Tierce Partie;False;False;2023-11-15 16:01:59;Suivi/Publicité
_ga;.mym.fans;Persistent;Tierce Partie;False;False;2024-12-18 16:01:59;Suivi/Publicité
